iter	Passed	Remaining
0	1	126
1	2	125
2	3	122
3	4	112
4	5	111
5	7	113
6	8	110
7	9	108
8	10	106
9	11	105
10	12	104
11	14	104
12	15	103
13	16	102
14	17	101
15	19	101
16	20	100
17	21	98
18	22	96
19	23	95
20	24	93
21	25	91
22	26	90
23	27	88
24	28	86
25	29	85
26	30	83
27	31	82
28	32	80
29	33	79
30	34	77
31	36	76
32	37	75
33	38	74
34	39	72
35	40	71
36	41	70
37	42	69
38	43	68
39	44	67
40	45	65
41	46	63
42	47	62
43	48	61
44	49	60
45	50	59
46	51	58
47	52	57
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	59	50
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	42
61	67	41
62	68	39
63	69	38
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	29
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	16
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
